      SDSS-FIRST Complete Data

    Redshift   Lum. Dist.        K-{opt} f_2500A         f_1.4GHz   L_o,    L_r
                  cm                    erg/(s cm2 Hz)     mJy       erg/(s Hz)  erg/(s Hz)

     0.217400 3.27369e+027      1.43194 4.04038e-027      1.36000 3.79998e+029 1.69772e+030
     0.218200 3.28724e+027      1.43121 2.69167e-027      12.1291 2.55382e+029 1.52625e+031
     0.218300 3.28893e+027      1.43112 1.65661e-027      1.67111 1.57350e+029 2.10493e+030
     0.218300 3.28893e+027      1.43112 1.44684e-027      9.60474 1.37425e+029 1.20981e+031
     0.218300 3.28893e+027      1.43112 2.22854e-027      8.26607 2.11673e+029 1.04120e+031
     0.218800 3.29740e+027      1.43066 3.62428e-027      1.39000 3.46130e+029 1.75959e+030
     0.219600 3.31097e+027      1.42992 1.85192e-027      1.34000 1.78414e+029 1.70983e+030
     0.219800 3.31436e+027      1.42974 1.56034e-027      2.44054 1.50651e+029 3.12029e+030
     0.220200 3.32114e+027      1.42913 1.41131e-027      1.30000 1.36879e+029 1.66868e+030
     0.220300 3.32284e+027      1.42892 4.54175e-027      7.68341 4.41007e+029 9.87216e+030
     0.220300 3.32284e+027      1.42892 3.98125e-027      2.76000 3.86582e+029 3.54623e+030
     0.220600 3.32793e+027      1.42828 3.42944e-027      1.72000 3.34171e+029 2.21653e+030
     0.221000 3.33473e+027      1.42743 2.50277e-027      2.07538 2.45016e+029 2.68509e+030
     0.221500 3.34322e+027      1.42638 2.58953e-027      2.56992 2.54992e+029 3.34132e+030
     0.222000 3.35172e+027      1.42532 1.31347e-027      1.21000 1.30093e+029 1.58095e+030
     0.222300 3.35682e+027      1.42469 6.10410e-027      21.3564 6.06690e+029 2.79858e+031
     0.222500 3.36022e+027      1.42427 1.20565e-027      1.04000 1.20109e+029 1.36551e+030
     0.222900 3.36702e+027      1.42342 1.57334e-027      9.76592 1.57467e+029 1.28728e+031
     0.222900 3.36702e+027      1.42342 1.74270e-027      7.79345 1.74417e+029 1.02728e+031
     0.223200 3.37212e+027      1.42279 3.78811e-027      3.54682 3.80450e+029 4.68892e+030
     0.223800 3.38234e+027      1.42153 3.11619e-027      1.85000 3.15145e+029 2.46007e+030
