 |                              | |                              |            |            |      |          |    |      | SDSS-DR6 u  | SDSS-DR6 u  | SDSS-DR6 g  | SDSS-DR6 g  | SDSS-DR6 r  | SDSS-DR6 r  | SDSS-DR6 i  | SDSS-DR6 i  | SDSS-DR6 z  | SDSS-DR6 z  |    FIRST    |    FIRST    
 |      Input Object Name       | |         Object Name          |     RA     |    Dec     |Object| Redshift | z  |Mag./ |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   1.4 GHz   |   1.4 GHz   
 |   (E/W Hover for Messages)   | | (* Hover for Essential Note) |  J2000.0   |  J2000.0   | Type |          |Qual|Filter|  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  
 |                              | |                              |            |            |      |          |    |      |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |   milliJy   |  W/m^2/Hz    
 |OK290                         | |FBQS J095649.8+251515         |09h56m49.88s|+25d15m16.0s|QSO   |  0.707208|    | 18.0g|       18.424|     1.61E-30|       17.955|     2.39E-30|       17.947|     2.41E-30|       18.065|     2.16E-30|       17.852|     2.58E-30|             |             
 |OK492                         | |[HB89] 0955+476               |09h58m19.67s|+47d25m07.8s|QSO   |  1.882105|    | 18.6g|       18.551|     1.43E-30|       18.545|     1.39E-30|       18.469|     1.49E-30|       18.174|     1.95E-30|       18.107|     2.04E-30|             |             
 |4C+55.17                      |*|[HB89] 0954+556               |09h57m38.18s|+55d22m57.8s|QSO   |  0.899610|    | 17.9g|       18.258|     1.87E-30|       17.950|     2.40E-30|       17.574|     3.39E-30|       17.385|     4.04E-30|       17.199|     4.70E-30|             |             
 |PKS1008-01                    | |4C -01.21                     |10h10m52.59s|-02d00m57.0s|G     |          |    |  19.4|             |             |             |             |             |             |             |             |             |             |             |             
 |NVSSJ101051-020227            | |SDSS J101051.62-020225.9      |10h10m51.63s|-02d02m26.0s|QSO   |  0.896000|    | 18.81|       19.226|     7.68E-31|       18.989|     9.21E-31|       18.804|     1.09E-30|       18.943|     9.61E-31|       18.959|     9.29E-31|             |             
 |MG2J101241+2439               | |WISE J101241.39+243923.2      |10h12m41.38s|+24d39m23.4s|QSO   |  1.805000|    | 19.7g|       19.546|     5.72E-31|       19.653|     5.00E-31|       19.613|     5.19E-31|       19.420|     6.19E-31|       19.340|     6.54E-31|             |             
 |TXS1013+054                   | |WISE J101603.13+051302.2      |10h16m03.14s|+05d13m02.3s|QSO   |  1.712720|    | 19.9g|       20.513|     2.35E-31|       19.889|     4.02E-31|       19.482|     5.85E-31|       19.076|     8.50E-31|       18.749|     1.13E-30|             |             
 |B21015+35B                    | |FBQS J101810.9+354239         |10h18m10.99s|+35d42m39.4s|QSO   |  1.229508|    | 18.3g|       18.367|     1.70E-30|       18.262|     1.80E-30|       17.906|     2.50E-30|       17.846|     2.64E-30|       17.939|     2.38E-30|       582.82|     5.83E-27
 |TXS1015+057                   | |2MASS J10182785+0530299       |10h18m27.85s|+05d30m30.0s|QSO   |  1.945255|    | 19.4g|       19.651|     5.19E-31|       19.337|     6.69E-31|       19.080|     8.47E-31|       18.712|     1.19E-30|       18.553|     1.35E-30|             |             
 |FBQSJ102333.5+395312          | |FBQS J102333.5+395312         |10h23m33.50s|+39d53m12.7s|QSO   |  1.333490|    | 18.2g|       18.312|     1.78E-30|       18.208|     1.89E-30|       18.014|     2.26E-30|       18.002|     2.29E-30|       17.890|     2.49E-30|        65.29|     6.53E-28
