                              | |                              |      |          |    |      | SDSS-DR6 u  | SDSS-DR6 u  | SDSS-DR6 g  | SDSS-DR6 g  | SDSS-DR6 r  | SDSS-DR6 r  | SDSS-DR6 i  | SDSS-DR6 i  | SDSS-DR6 z  | SDSS-DR6 z  |    FIRST    |    FIRST    
      Input Object Name       | |         Object Name          |Object| Redshift | z  |Mag./ |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   1.4 GHz   |   1.4 GHz   
                              | | (* Hover for Essential Note) | Type |          |Qual|Filter|  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  
                              | |                              |      |          |    |      |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |   milliJy   |  W/m^2/Hz    
PKS0214-085                   | |PKS 0214-085                  |QSO   |  0.606538|    | 20.3g|       20.818|     1.77E-31|       20.377|     2.57E-31|       19.722|     4.69E-31|       19.224|     7.42E-31|       18.893|     9.88E-31|             |             
S50212+73                     | |[HB89] 0212+735               |QSO   |  2.367000|    | 19.0V|             |             |             |             |             |             |             |             |             |             |             |             
PKS0215+015                   | |[HB89] 0215+015               |QSO   |  1.715000|    | 18.33|             |             |             |             |             |             |             |             |             |             |             |             
B0218+357                     |*|B2 0218+35                    |G     |  0.684660|    | 20.0V|             |             |             |             |             |             |             |             |             |             |             |             
PKS0219-164                   | |[HB89] 0219-164               |QSO   |  0.700000|    |  19.0|             |             |             |             |             |             |             |             |             |             |             |             
PMNJ0226+0937                 |*|2MASS J02261370+0937265       |RadioS|          |    |      |             |             |             |             |             |             |             |             |             |             |             |             
PKS0226-559                   | |PKS 0226-559                  |QSO   |  2.464000|    |  17.6|             |             |             |             |             |             |             |             |             |             |             |             
PKS0227-369                   | |PKS 0227-369                  |QSO   |  2.115000|    |  19.0|             |             |             |             |             |             |             |             |             |             |             |             
B30227+403                    | |B3 0227+403                   |QSO   |  1.019000|    |  17.0|             |             |             |             |             |             |             |             |             |             |             |             
PKS0235-618                   | |PKS 0235-618                  |QSO   |  0.465000|    | 18.9b|             |             |             |             |             |             |             |             |             |             |             |             
4C+28.07                      | |[HB89] 0234+285               |QSO   |  1.213000|    | 18.91|             |             |             |             |             |             |             |             |             |             |             |             
OD166                         | |PKS 0239+108                  |QSO   |  2.680000|    |  20.0|             |             |             |             |             |             |             |             |             |             |             |             
B20242+23                     | |B2 0242+23                    |QSO   |  2.243000|    |  19.5|             |             |             |             |             |             |             |             |             |             |             |             
PKS0244-470                   | |PKS 0244-470                  |QSO   |  1.385000|    |  18.5|             |             |             |             |             |             |             |             |             |             |             |             
NVSSJ025037+171209            | |WISE J025037.95+171208.9      |G     |  1.100300|    |  16.1|             |             |             |             |             |             |             |             |             |             |             |             
PKS0250-602                   | |PKS 0250-602                  |QSO   |  1.373000|    |  19.0|             |             |             |             |             |             |             |             |             |             |             |             
B20249+38                     | |B2 0249+38                    |QSO   |  1.122000|    |  18.5|             |             |             |             |             |             |             |             |             |             |             |             
PKS0250-225                   | |PKS 0250-225                  |QSO   |  1.427000|    | 19.8R|             |             |             |             |             |             |             |             |             |             |             |             
PKS0252-549                   | |[HB89] 0252-549               |QSO   |  0.539000|    |  19.3|             |             |             |             |             |             |             |             |             |             |             |             
PMNJ0257-1211                 | |WISE J025741.00-121201.3      |VisS  |  1.391000|    | 17.7R|             |             |             |             |             |             |             |             |             |             |             |             
PKS0256+075                   | |PKS 0256+075                  |QSO   |  0.893000|    |  18.0|             |             |             |             |             |             |             |             |             |             |             |             
PMNJ0303-7914                 | |WISE J030320.89-791456.5      |QSO   |  1.115000|    | 20.2R|             |             |             |             |             |             |             |             |             |             |             |             
PKS0302-623                   | |PKS 0302-623                  |QSO   |  1.351000|    |  19.1|             |             |             |             |             |             |             |             |             |             |             |             
PKS0306+102                   | |[HB89] 0306+102               |QSO   |  0.863000|    |   18.|             |             |             |             |             |             |             |             |             |             |             |             
PKS0308-611                   | |PKS 0308-611                  |QSO   |  1.480000|    |  18.6|             |             |             |             |             |             |             |             |             |             |             |             
B30307+380                    | |B3 0307+380                   |QSO   |  0.816000|    | 19.0g|             |             |             |             |             |             |             |             |             |             |             |             
PKS0310+013                   | |LBQS 0310+0122                |QSO   |  0.664000|    | 18.24|             |             |             |             |             |             |             |             |             |             |             |             
PKS0313-107                   | |PKS 0313-107                  |QSO   |  1.565000|    |  18.5|             |             |             |             |             |             |             |             |             |             |             |             
TXS0322+222                   |*|WISE J032536.80+222400.3      |QSO   |  2.060000|    | 18.9B|             |             |             |             |             |             |             |             |             |             |             |             
